14:8:43,51400,7084,2099,36,
14:8:43,51500,7094,2102,36,
14:8:43,51600,7101,2104,36,
14:8:43,51700,7112,2109,36,
14:8:43,51800,7125,2112,36,
14:8:43,51900,7142,2112,36,
14:8:43,52000,7152,2114,36,
14:8:43,52100,7174,2122,36,
14:8:43,52200,7188,2125,36,
14:8:43,52300,7200,2126,36,
14:8:43,52400,7211,2129,36,
14:8:43,52500,7235,2134,36,
14:8:43,52600,7252,2140,36,
14:8:43,52700,7264,2143,36,
14:8:43,52800,7271,2147,36,
14:8:43,52900,7292,2151,36,
14:8:43,53000,7301,2152,36,
14:8:43,53100,7314,2160,38,
14:8:43,53200,7325,2162,38,
14:8:44,53300,7344,2166,38,
14:8:44,53400,7350,2170,38,
14:8:44,53500,7369,2171,38,
14:8:44,53600,7379,2175,40,
14:8:44,53700,7405,2178,40,
14:8:44,53800,7422,2179,40,
14:8:44,53900,7428,2180,40,
14:8:44,54000,7437,2184,40,
14:8:44,54100,7450,2187,40,
14:8:44,54200,7462,2193,42,
14:8:44,54300,7471,2194,42,
14:8:44,54400,7480,2196,42,
14:8:44,54500,7503,2208,42,
14:8:44,54600,7517,2213,42,
14:8:44,54700,7526,2217,42,
14:8:44,54800,7539,2219,42,
14:8:44,54900,7557,2224,42,
14:8:44,55000,7569,2232,42,
14:8:44,55100,7583,2234,42,
14:8:44,55200,7599,2240,42,
