#section:000000000003, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
002948600,00030100,001824,51,000001,000002,0.0129526
002948900,00020101,001823,51,000001,000003,0.01273
002951000,00030100,001826,51,000001,000003,0.0126892
003017100,00030100,001861,21,000004,000003,0.0087493
003048800,00030100,001935,21,000004,000003,0.0102746
003054600,00030100,001944,21,000004,000003,0.0103414
003069700,00020101,001788,21,000002,000003,0.00875868
003084200,00020101,001827,51,000001,000003,0.0120083
003086600,00030100,001828,51,000001,000002,0.013036
003089900,00030100,001831,51,000001,000002,0.0136685
003090700,00020101,001832,51,000001,000003,0.0136251
003092500,00030100,001877,51,000001,000003,0.0138371
003093100,00020101,001878,51,000001,000003,0.0131614
003100500,00030100,001884,51,000001,000002,0.013776
003102900,00020101,001920,51,000001,000003,0.0137832
003105200,00030100,001921,51,000001,000002,0.0136616
003107500,00020101,001925,51,000001,000003,0.0139517
003109700,00030100,001974,51,000001,000002,0.0141114
003112000,00030100,001978,51,000001,000003,0.0135701
003113100,00020101,001979,51,000001,000003,0.0149393
003114300,00030100,001980,51,000001,000003,0.0133802
003116500,00030100,001983,51,000001,000003,0.0131792
003118500,00020101,001984,22,000001,000004,0.0143038
003120500,00020101,001985,51,000001,000004,0.0134157
003122500,00020101,001987,22,000001,000004,0.013052
003124500,00030100,001989,51,000001,000002,0.0143507
003126600,00020101,001988,51,000001,000004,0.0145812
003127900,00030100,001991,51,000001,000003,0.0152722
003130100,00020101,001992,22,000001,000004,0.0152722
003131600,00030100,001993,51,000001,000003,0.0156567
003134200,00020101,001994,51,000001,000004,0.0158543
003162600,00030100,001965,21,000004,000003,0.00939612
003177100,00030100,001971,21,000004,000003,0.00969864
003179200,00030100,001976,21,000004,000003,0.00899573
003179900,00020101,001868,21,000002,000003,0.00900282
003187200,00030100,002015,21,000004,000003,0.0097379
003189200,00030100,002018,21,000004,000003,0.00899278
003192700,00030100,002022,21,000004,000003,0.0101803
003194700,00030100,002024,21,000004,000003,0.0093471
003209600,00020101,001928,21,000002,000003,0.00894419
003226600,00030100,001999,51,000001,000003,0.0130967
003229000,00020101,002000,51,000001,000004,0.0136031
003231000,00030100,002001,51,000001,000003,0.0139166
003231300,00020101,002002,51,000001,000003,0.0131865
003233600,00030100,002003,51,000001,000002,0.0138216
003235800,00020101,002004,51,000001,000004,0.0142957
003239900,00030100,002007,51,000001,000002,0.0153265
003242200,00020101,002053,51,000001,000004,0.014965
003244500,00030100,002054,51,000001,000002,0.0148583
003245800,00020101,002056,51,000001,000003,0.0153233
003246700,00030100,002058,51,000001,000003,0.0140779
003248100,00020101,002059,51,000001,000003,0.0144578
003249000,00030100,002060,51,000001,000003,0.0137588
003250400,00020101,002061,51,000001,000003,0.0140931
003254900,00030100,002062,51,000001,000002,0.0153314
003257300,00020101,002065,51,000001,000004,0.0150803
003258800,00030100,002064,51,000001,000003,0.0150985
003259600,00020101,002067,51,000001,000003,0.0143422
003261800,00030100,002068,51,000001,000002,0.0147612
003263100,00020101,002069,51,000001,000003,0.0153983
003266000,00020101,002071,51,000001,000004,0.0153532
003269900,00020101,002073,51,000001,000004,0.0157559
003272200,00020101,002075,51,000001,000003,0.0149338
003273700,00030100,002076,51,000001,000003,0.0155533
003276100,00030100,002078,51,000001,000003,0.0146932
003302900,00030100,002040,21,000004,000003,0.00961623
003306900,00030100,002043,21,000004,000003,0.00970735
003310100,00030100,002046,21,000004,000003,0.0100756
003312100,00030100,002048,21,000004,000003,0.00949402
003328800,00030100,002109,21,000004,000003,0.010469
003330800,00030100,002111,21,000004,000003,0.00994354
003336300,00030100,002118,21,000004,000003,0.0105497
003342000,00030100,002121,21,000004,000003,0.0107383
003344000,00020101,001938,21,000002,000003,0.00864581
003350700,00020101,001946,21,000002,000003,0.00899449
003353100,00020101,001949,21,000002,000003,0.00846637
003355300,00020101,001961,21,000002,000003,0.00813369
003364200,00020101,002081,51,000001,000004,0.0120083
003364200,00030100,002080,51,000001,000003,0.0120083
003369800,00020101,002083,22,000001,000004,0.0120512
003371500,00030100,002085,51,000001,000003,0.0130867
003371900,00020101,002084,51,000001,000003,0.0115899
003374100,00020101,002086,51,000001,000004,0.0116875
003376200,00030100,002087,51,000001,000002,0.0136305
003391100,00020101,002090,51,000001,000004,0.0129285
003393400,00020101,002143,22,000001,000004,0.0125985
003395500,00020101,002145,51,000001,000004,0.0124659
003432800,00030100,002124,21,000004,000003,0.00727124
003440200,00030100,002130,21,000004,000003,0.00926591
003451300,00020101,002099,21,000002,000003,0.0105229
003456900,00020101,002139,21,000002,000003,0.0106502
003504200,00030100,002148,51,000001,000002,0.0120083
003505600,00020101,002151,51,000001,000003,0.0122601
003508000,00020101,002156,51,000001,000003,0.0122595
003510300,00030100,002157,51,000001,000003,0.0127714
003512600,00020101,002161,51,000001,000004,0.0133043
003514900,00030100,002164,51,000001,000002,0.0136837
003516200,00020101,002171,51,000001,000003,0.0140479
003517400,00030100,002172,51,000001,000003,0.0142316
003518600,00020101,002175,51,000001,000003,0.0134961
003523800,00020101,002244,51,000001,000004,0.0152102
003525300,00030100,002246,51,000001,000003,0.0150756
003526200,00020101,002248,51,000001,000003,0.0144164
003528400,00030100,002250,51,000001,000002,0.0147072
003530600,00020101,002252,51,000001,000004,0.0147741
003534800,00030100,002256,51,000001,000002,0.0154856
003536300,00020101,002257,51,000001,000003,0.0154723
003538600,00030100,002258,51,000001,000002,0.0154765
003541000,00020101,002259,51,000001,000004,0.0153065
003549400,00020101,002263,51,000001,000004,0.0154703
003551800,00030100,002265,51,000001,000002,0.015232
003585200,00020101,002231,21,000002,000003,0.00985416
003590300,00020101,002236,21,000002,000003,0.0100182
